matchId,teamWon,goldEarned,kills,deaths,assists,cs,visionScore,totalDamageDealtToChampions,totalDamageDealt,teamDragons,teamBarons,teamTowers,enemyDragons,enemyBarons,enemyTowers
EUW1_6848403991,False,26714,14,16,18,388,43,45815,322202,1,0,1,2,0,9
EUW1_6851245457,False,33334,7,18,10,562,99,47557,457045,1,0,1,3,1,11
EUW1_6855168656,True,57299,34,12,44,857,84,93400,839517,4,1,10,0,0,4
EUW1_6860449227,False,39711,22,39,31,421,67,61285,363957,2,0,4,1,1,10
EUW1_6860499061,False,48154,24,31,28,625,124,67317,487189,1,1,4,3,0,10
EUW1_6862961688,True,84767,38,29,76,979,238,165576,1145852,7,3,11,0,1,6
EUW1_6871973085,False,25585,10,15,23,339,87,43512,238337,2,0,1,2,1,10
EUW1_6872028314,True,37952,20,12,23,546,58,59420,510879,2,1,10,2,0,3
EUW1_6874682080,False,47290,27,25,43,574,141,90448,551130,3,1,5,2,0,7
EUW1_6880292323,True,25655,14,4,19,370,73,31670,248395,2,0,1,0,0,1
EUW1_6880337294,True,23764,13,2,14,346,54,29983,245369,2,0,2,0,0,0
EUW1_6880390671,True,49132,24,20,40,629,149,92444,635970,3,1,8,1,0,6
EUW1_6883313957,True,22556,19,4,7,312,17,36306,222459,2,0,7,1,0,3
EUW1_6884648482,False,55144,33,41,65,560,161,117069,537507,2,1,5,4,1,9
EUW1_6884731479,True,65059,34,21,54,801,232,105190,864038,4,2,9,2,1,8
EUW1_6886027973,False,59706,27,27,33,880,169,100428,766920,0,0,3,4,2,11
EUW1_6886104282,False,5424,1,0,0,76,4,1521,33684,0,0,0,0,0,0
EUW1_6886128304,False,75019,38,35,77,1038,199,173739,1139020,2,1,5,4,0,11
EUW1_6891963768,True,68854,42,27,67,758,167,114426,712975,2,2,7,2,0,6
EUW1_6892036949,True,62329,33,29,55,656,184,128596,756340,4,1,10,0,1,4
EUW1_6893279013,True,54921,34,17,47,635,152,87657,597322,3,2,10,2,0,6
EUW1_6893341327,False,52174,26,28,60,627,153,102087,577519,4,1,5,1,0,10
EUW1_6894653848,False,61008,22,22,44,940,180,155555,929447,3,0,3,3,2,11
EUW1_6913543811,False,32611,9,21,19,519,81,46016,365785,0,0,1,2,0,4
EUW1_6913588856,True,61859,40,24,69,786,141,131430,772430,3,1,2,1,0,3
EUW1_6920265069,False,25711,12,13,8,429,43,64984,458743,3,0,7,2,2,9
EUW1_6920395902,True,60986,40,20,74,712,163,100165,666326,4,1,10,1,0,1
EUW1_6920451983,False,53438,32,43,40,661,95,104550,590094,1,0,3,3,1,11
EUW1_6921658100,True,25134,11,5,31,286,69,38124,279039,2,1,5,1,0,3
EUW1_6921709355,False,19377,5,15,15,227,78,26462,182974,1,0,0,2,0,7
EUW1_6921765042,True,34675,17,16,46,348,113,70609,308693,5,1,8,0,0,6
EUW1_6930116711,True,32418,14,25,44,342,92,58361,299623,2,1,8,2,0,4
EUW1_6931197093,False,47365,22,37,31,639,128,58913,482255,0,0,2,3,1,9
EUW1_6931253284,True,83632,49,48,62,961,236,195437,1167057,4,2,9,1,0,6
EUW1_6931327369,False,35521,9,26,17,575,86,42649,385960,1,0,0,2,1,11
EUW1_6932299923,False,24057,8,19,17,315,98,33438,209656,3,0,3,1,1,8
EUW1_6932347351,True,71026,48,29,63,900,172,181929,962107,4,1,11,1,1,5
EUW1_6934657626,False,53099,21,29,33,877,165,84811,678804,2,0,4,2,1,5
EUW1_6934709931,True,61423,33,11,58,821,146,99709,804511,4,2,8,0,0,3
EUW1_6934758240,False,57861,26,21,41,749,160,98459,757646,3,1,2,2,0,8
EUW1_6938992253,False,40843,17,29,34,593,93,70801,483817,1,0,0,2,0,10
EUW1_6939036975,True,52374,25,15,34,770,107,72905,644691,3,1,5,1,0,1
EUW1_6941240569,False,51373,24,33,33,750,110,99285,668703,2,0,0,3,1,9
EUW1_6941294365,False,38851,19,30,20,544,89,69391,440903,0,0,0,4,0,7
EUW1_6941363514,False,53226,28,36,29,661,107,113509,638477,2,0,6,2,1,10
EUW1_6941437357,False,24151,5,16,21,435,38,38331,355031,2,0,3,3,2,10
EUW1_6943726969,False,15443,7,8,10,205,53,15718,160347,1,0,0,1,0,3
EUW1_6943777533,True,37832,15,4,13,591,61,57435,527640,3,1,11,1,0,1
EUW1_6944992018,False,54607,15,36,25,887,126,106134,813885,2,0,3,2,0,11
EUW1_6945072638,False,53918,21,40,46,749,145,94986,647534,1,0,2,3,1,10
